file, ra, dec, redshift,survey, dropped, continuum, classification, delta_BIC, outflow, fit_fail, hit_limit, nburst_file, error message
spec-104547-59669-27021600090408530.fits, 226.15792593968263, 2.15841586636883, -0.003937858156859875, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015307-59316-7575039084.fits, 226.4017888461923, 55.76291326180331, -0.001152766402810812, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_21668-thru20220313-1929.fits, 226.50997645388784, 1.6886237709237828, 0.3369292615004512, desi, 0, 1, 1, 63.94838006960981, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_21668_20220313_1929.fits, 
spec-104552-59734-27021600700998223.fits, 226.81551928399472, 56.07856976575611, 0.0012535677524283528, sdss, 0, 1, 0, 16.975036919007266, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_104552_59734_27021600700998223.fits, 
spec-104552-59734-27021600707261862.fits, 227.3087898741627, 57.023362380712655, 0.011396951973438263, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_23238-thru20220314-1243.fits, 227.6721470989228, 4.907216801888908, 0.2205841924789527, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-104547-59666-27021600070274799.fits, 227.70110589349235, 1.65649337772936, 0.010508246719837189, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
spec-015307-59290-7575039215.fits, 228.629462831291, 55.651735018528605, 0.011620740406215191, sdss, 0, 1, 0, 32.98096594797926, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_15307_59290_00000.fits, 
desiSp1d_5961-thru20220409-3427.fits, 232.7887777895662, 35.56260932075206, 0.18553752052145556, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_23381-thru20220426-1051.fits, 233.12294303166368, 30.13062774937241, 0.06530929485937081, desi, 0, 1, 1, 2915.354574445717, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_23381_20220426_1051.fits, 
desiSp1d_23339-thru20220323-2189.fits, 233.9777599687859, 16.371787166955635, 0.24357819060210645, desi, 0, 1, 1, 1547.9012342946958, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_23339_20220323_2189.fits, 
spec-102614-60088-27021598728902800.fits, 237.9575138032108, 18.76835165458643, 0.11921118199825287, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] no NBURSTS file found. Searched for []
